epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
36,17459.7,1.4136,0.7133,0.99087,0.83608,0.57011,0.64932,0.35413,1.37739,0.63871,0.99973,0.00307,0.00307,0.00307
37,17621.5,1.4169,0.71045,0.98501,0.84192,0.56835,0.65201,0.35534,1.3757,0.63776,0.99699,0.002872,0.002872,0.002872
38,17782.6,1.40913,0.70716,0.9834,0.84158,0.5726,0.65262,0.35631,1.37113,0.63692,0.9969,0.002674,0.002674,0.002674
39,17944.7,1.40241,0.70023,0.98399,0.83992,0.57401,0.65418,0.35847,1.36908,0.63209,0.99797,0.002476,0.002476,0.002476
40,18106.2,1.40218,0.69652,0.98158,0.84013,0.57507,0.65492,0.35901,1.36825,0.63209,0.99554,0.002278,0.002278,0.002278
41,18262.1,1.37935,0.67345,0.98729,0.84514,0.56957,0.65179,0.35682,1.37022,0.63616,0.99952,0.00208,0.00208,0.00208
42,18418.1,1.36222,0.66077,0.98314,0.84234,0.56895,0.65117,0.35591,1.37243,0.63339,0.99771,0.001882,0.001882,0.001882
43,18571,1.36364,0.6577,0.98044,0.84431,0.56847,0.65175,0.35716,1.3718,0.63086,0.99562,0.001684,0.001684,0.001684
44,18724.3,1.35574,0.65291,0.98042,0.83902,0.57033,0.65155,0.35744,1.36948,0.62948,0.99737,0.001486,0.001486,0.001486
45,18878.8,1.3525,0.64836,0.97699,0.84187,0.57336,0.65375,0.35826,1.3693,0.63004,0.99571,0.001288,0.001288,0.001288
46,19034,1.35319,0.64518,0.97484,0.84144,0.57403,0.65478,0.35956,1.36739,0.62817,0.99444,0.00109,0.00109,0.00109
47,19189.4,1.35079,0.64146,0.9756,0.84142,0.57167,0.65412,0.36044,1.36585,0.62601,0.99567,0.000892,0.000892,0.000892
48,19344.2,1.33231,0.63295,0.9727,0.84111,0.57195,0.6544,0.35996,1.36682,0.62566,0.99504,0.000694,0.000694,0.000694
49,19499.5,1.33359,0.63155,0.97009,0.84104,0.57283,0.65516,0.36063,1.36593,0.62534,0.99455,0.000496,0.000496,0.000496
50,19657.5,1.33208,0.63097,0.96857,0.83907,0.57487,0.6557,0.36036,1.36695,0.62472,0.99417,0.000298,0.000298,0.000298
